Gender,Performance,Interview,Cognitive,Personality,Sitdriving
1.00,3.00,88.00,65.00,81.00,71.00
1.00,3.00,87.00,66.00,56.00,58.00
1.00,2.00,84.00,69.00,69.00,51.50
1.00,5.00,85.00,77.00,77.00,69.00
1.00,3.00,85.00,57.00,76.00,74.00
1.00,3.00,88.00,75.00,86.00,63.00
1.00,5.00,91.00,75.00,62.00,73.50
1.00,3.00,87.00,69.00,78.00,64.50
1.00,4.00,81.00,69.00,75.00,64.50
1.00,3.00,80.00,58.00,72.00,57.50
1.00,3.00,80.00,61.00,87.00,66.00
1.00,3.00,87.00,73.00,71.00,82.00
1.00,2.00,78.00,48.00,66.00,59.50
1.00,3.00,90.00,66.00,57.00,65.00
1.00,2.00,79.00,61.00,74.00,62.00
1.00,5.00,95.00,75.00,43.00,65.50
1.00,4.00,85.00,65.00,77.00,74.00
1.00,4.00,82.00,58.00,78.00,69.50
1.00,2.00,76.00,65.00,77.00,63.00
1.00,5.00,82.00,72.00,66.00,69.00
1.00,5.00,87.00,63.00,72.00,77.00
0.00,5.00,78.00,71.00,58.00,69.00
1.00,2.00,84.00,61.00,58.00,62.00
1.00,3.00,86.00,74.00,54.00,60.50
1.00,5.00,76.00,71.00,66.00,75.50
0.00,2.00,82.00,69.00,65.00,71.50
1.00,2.00,82.00,59.00,72.00,58.00
1.00,4.00,95.00,90.00,80.00,59.00
1.00,4.00,82.00,72.00,83.00,63.50
0.00,2.00,84.00,62.00,65.00,63.50
1.00,2.00,79.00,51.00,59.00,66.50
1.00,3.00,85.00,73.00,80.00,67.50
0.00,3.00,88.00,81.00,80.00,63.50
0.00,2.00,80.00,68.00,55.00,57.50
1.00,5.00,94.00,81.00,81.00,69.00
1.00,3.00,86.00,65.00,71.00,75.00
1.00,2.00,84.00,71.00,68.00,69.50
0.00,4.00,85.00,77.00,73.00,62.00
1.00,2.00,82.00,61.00,85.00,70.50
1.00,3.00,87.00,88.00,58.00,58.50
1.00,3.00,76.00,60.00,86.00,60.50
1.00,5.00,89.00,76.00,86.00,63.00
1.00,5.00,84.00,54.00,90.00,59.00
1.00,5.00,94.00,64.00,80.00,74.00
1.00,4.00,77.00,60.00,65.00,63.50
1.00,3.00,80.00,73.00,80.00,68.00
1.00,4.00,91.00,85.00,94.00,71.00
1.00,5.00,90.00,79.00,51.00,70.50
1.00,3.00,63.00,45.00,76.00,64.00
1.00,4.00,89.00,70.00,58.00,77.50
1.00,4.00,82.00,75.00,62.00,63.00
1.00,4.00,87.00,75.00,70.00,80.00
1.00,4.00,76.00,72.00,74.00,55.50
1.00,5.00,85.00,77.00,67.00,67.00
1.00,3.00,79.00,72.00,57.00,61.00
1.00,4.00,97.00,72.00,64.00,80.00
1.00,4.00,91.00,81.00,82.00,68.50
1.00,2.00,81.00,68.00,71.00,56.00
1.00,3.00,90.00,69.00,94.00,59.50
1.00,5.00,90.00,85.00,66.00,72.00
1.00,2.00,83.00,76.00,59.00,56.50
1.00,4.00,88.00,61.00,65.00,72.00
1.00,5.00,83.00,61.00,80.00,71.50
1.00,5.00,84.00,75.00,85.00,75.00
1.00,3.00,75.00,48.00,73.00,63.00
1.00,4.00,77.00,70.00,63.00,58.50
1.00,4.00,74.00,73.00,77.00,65.50
1.00,3.00,75.00,62.00,66.00,71.00
