code,group,sex,birth,age,grad,children,job,berlin,prev.home,uni1,uni2,uni3,uni4,uni5,uni6,uni7,uni8,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10,mood11,mood12,ls13,ls14,ls15,ls16,ls17,proc,extra,agree,consc,neuro,intell,gb.1,gb.2,at.1,at.2,cn.1,cn.2,ls.1,ls.2,sat.con.1,sat.con.2,sat.circ.1,sat.circ.2,sat.stress.1,sat.stress.2
69,Group 1,female,1982,26,NA,no,yes,yes,Berlin,no,no,no,no,no,no,no,no,NA,3,2,2,4,2,3,3,2,3,2,3,5,4,4,4,2,3,3.25,4.25,4,4.75,3,3.66666666666667,NA,2.75,NA,3.25,NA,19,NA,NA,NA,NA,NA,NA,NA
70,Group 2,male,1985,23,2005,no,no,yes,Berlin,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,2,4,2,4,3,4,1,4,7,7,6,7,5,2.5,4.25,4,3,3.25,4,4.5,NA,3.75,NA,3.5,NA,32,NA,NA,NA,2,NA,3.33333333333333,NA
71,Group 2,male,1981,27,2001,no,yes,yes,Berlin,no,yes,no,yes,yes,yes,no,no,3,NA,4,2,2,3,4,3,2,4,2,4,6,5,6,4,4,2.2,3.25,3.75,3.25,2.75,4,3.5,NA,3.33333333333333,NA,3.25,NA,25,NA,3.66666666666667,NA,2.66666666666667,NA,2.33333333333333,NA
72,Group 2,female,1987,21,2007,no,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,1,1,4,3,4,1,4,1,4,6,5,6,6,7,1.7,4.5,3.25,NA,3.25,3.75,4.5,5,3.75,5,4.25,4.5,30,31,3.66666666666667,3.66666666666667,2.33333333333333,3.33333333333333,3.33333333333333,3.66666666666667
73,Group 1,female,1982,26,NA,no,yes,yes,West Germany,no,no,no,no,no,no,no,no,3,5,2,3,2,3,1,3,2,2,2,4,4,5,6,5,6,3.3,2,3.5,2.75,3.25,2.75,3.25,NA,4,NA,3.75,NA,26,NA,NA,NA,NA,NA,NA,NA
74,Group 1,female,1983,25,2007,no,yes,yes,West Germany,no,yes,no,yes,yes,yes,no,no,3,2,4,3,3,2,3,3,4,3,3,2,5,4,4,4,4,2.2,3.25,3,3.5,3.25,3,3,3.25,2.75,2.5,2,2.5,21,22,3,2.33333333333333,NA,2,3,1
75,Group 4,female,1972,36,1992,no,yes,yes,Berlin,yes,yes,yes,no,yes,yes,no,no,3,4,4,2,1,3,2,3,3,4,3,3,2,3,3,2,2,1.9,3.25,4,4.5,4.75,4,3.25,3,4.25,4.5,2.75,2,12,17,2.66666666666667,3,1.66666666666667,2.33333333333333,1.66666666666667,2
76,Group 2,female,1988,20,2007,no,no,yes,Berlin,yes,yes,yes,yes,yes,yes,no,no,1,3,2,3,2,1,2,2,2,1,2,2,3,4,2,3,1,3.7,2,3.75,3,3.75,2.25,2.5,NA,3,NA,2.75,NA,13,NA,2.66666666666667,NA,3.66666666666667,NA,2.33333333333333,NA
77,Group 1,female,1988,20,2007,no,no,no,West Germany,no,yes,yes,yes,yes,no,no,no,3,4,3,1,2,3,3,4,4,4,1,3,5,5,5,5,4,2,4.25,4,4.25,3.25,3.75,4.25,4.25,3.75,3.75,2.75,4.5,24,26,3.66666666666667,3.33333333333333,3.66666666666667,4,4,2.33333333333333
78,Group 4,female,1964,44,1986,no,yes,yes,Berlin,no,yes,yes,yes,yes,yes,no,yes,1,4,4,2,2,2,2,4,2,3,1,4,6,5,6,7,6,1.9,3.5,4.75,4.5,2.75,4,3.5,NA,3.75,NA,3,NA,30,NA,3,NA,1.33333333333333,NA,2.66666666666667,NA
